keyword,emotion
didnt,Sad
feel,Sad
humiliated,Sad
can,Sad
go,Sad
from,Sad
feeling,Sad
hopeless,Sad
damned,Sad
hopeful,Sad
around,Sad
someone,Sad
who,Sad
cares,Sad
awake,Sad
im,Angry
grabbing,Angry
minute,Angry
post,Angry
feel,Angry
greedy,Angry
wrong,Angry
ever,Happy
feeling,Happy
nostalgic,Happy
about,Happy
fireplace,Happy
will,Happy
know,Happy
still,Happy
property,Happy
feeling,Angry
grouchy,Angry
ive,Sad
little,Sad
burdened,Sad
lately,Sad
wasnt,Sad
sure,Sad
why,Sad
ive,Excited
taking,Excited
milligrams,Excited
times,Excited
recommended,Excited
amount,Excited
fallen,Excited
asleep,Excited
lot,Excited
faster,Excited
also,Excited
feel,Excited
like,Excited
funny,Excited
feel,Fearful
as,Fearful
confused,Fearful
about,Fearful
life,Fearful
teenager,Fearful
jaded,Fearful
year,Fearful
old,Fearful
man,Fearful
petronas,Happy
years,Happy
feel,Happy
performed,Happy
well,Happy
made,Happy
huge,Happy
profit,Happy
romantic,Happy
too,Happy
like,Sad
make,Sad
suffering,Sad
m,Sad
seeing,Sad
mean,Sad
something,Sad
running,Happy
divine,Happy
experience,Happy
can,Happy
expect,Happy
some,Happy
type,Happy
spiritual,Happy
encounter,Happy
think,Angry
s,Angry
easiest,Angry
time,Angry
year,Angry
dissatisfied,Angry
low,Sad
energy,Sad
thirsty,Sad
immense,Happy
sympathy,Happy
general,Happy
point,Happy
as,Happy
possible,Happy
proto,Happy
writer,Happy
trying,Happy
find,Happy
time,Happy
write,Happy
corners,Happy
life,Happy
no,Happy
sign,Happy
agent,Happy
let,Happy
alone,Happy
publishing,Happy
contract,Happy
feels,Happy
little,Happy
precious,Happy
not,Happy
reassured,Happy
anxiety,Happy
each,Happy
side,Happy
really,Sad
embarrassed,Sad
pretty,Sad
pathetic,Sad
most,Sad
time,Sad
started,Sad
sentimental,Sad
about,Sad
dolls,Sad
as,Sad
child,Sad
began,Sad
collection,Sad
vintage,Sad
barbie,Sad
sixties,Sad
now,Fearful
compromised,Fearful
skeptical,Fearful
value,Fearful
every,Fearful
unit,Fearful
work,Fearful
put,Fearful
irritated,Angry
rejected,Angry
without,Angry
anyone,Angry
doing,Angry
anything,Angry
saying,Angry
feeling,Fearful
completely,Fearful
overwhelmed,Fearful
two,Fearful
strategies,Fearful
help,Fearful
grounded,Fearful
pour,Fearful
heart,Fearful
out,Fearful
journal,Fearful
form,Fearful
letter,Fearful
god,Fearful
then,Fearful
end,Fearful
list,Fearful
five,Fearful
things,Fearful
most,Fearful
grateful,Fearful
amused,Happy
delighted,Happy
able,Happy
help,Happy
chai,Happy
lifeline,Happy
support,Happy
encouragement,Happy
great,Happy
glad,Happy
already,Angry
like,Angry
fucked,Angry
up,Angry
though,Angry
because,Angry
dont,Angry
usually,Angry
eat,Angry
all,Angry
morning,Angry
still,Sad
love,Sad
wish,Sad
best,Sad
no,Sad
longer,Sad
tolerate,Sad
effect,Sad
bm,Sad
lives,Sad
fact,Sad
turned,Sad
into,Sad
bitter,Sad
angry,Sad
person,Sad
not,Sad
always,Sad
particularly,Sad
kind,Sad
people,Sad
when,Sad
stressed,Sad
inhibited,Sad
elses,Sad
kitchen,Sad
im,Sad
painting,Sad
picture,Sad
become,Sad
overwhelmed,Sad
defeated,Sad
kinda,Angry
appalled,Angry
feels,Angry
needs,Angry
explain,Angry
wide,Angry
lenghth,Angry
body,Angry
measures,Angry
etc,Angry
pp,Angry
more,Happy
superior,Happy
dead,Happy
chicken,Happy
grieving,Happy
child,Happy
get,Happy
giddy,Happy
over,Happy
elegant,Happy
perfectly,Happy
fitted,Happy
pencil,Happy
skirt,Happy
remember,Fearful
acutely,Fearful
distressed,Fearful
few,Fearful
days,Fearful
seen,Excited
heard,Excited
read,Excited
over,Excited
past,Excited
couple,Excited
days,Excited
left,Excited
feeling,Excited
impressed,Excited
by,Excited
more,Excited
than,Excited
few,Excited
companies,Excited
climbed,Angry
hill,Angry
frustrated,Angry
id,Angry
pretty,Angry
much,Angry
paced,Angry
entirely,Angry
course,Angry
factor,Angry
never,Angry
ever,Angry
hampered,Angry
made,Angry
such,Angry
dent,Angry
day,Angry
t,Happy
imagine,Happy
real,Happy
scenario,Happy
where,Happy
would,Happy
emotionally,Happy
connected,Happy
enough,Happy
someone,Happy
totally,Happy
accepted,Happy
safe,Happy
morally,Happy
acceptable,Happy
close,Happy
prolonged,Happy
physical,Happy
contact,Happy
sex,Happy
won,Happy
expected,Happy
subsequently,Happy
sure,Happy
what,Happy
make,Happy
content,Happy
if,Happy
anything,Happy
need,Happy
creative,Happy
however,Happy
want,Happy
something,Happy
causing,Happy
less,Happy
then,Happy
splendid,Happy
self,Happy
step,Happy
away,Happy
from,Happy
them,Happy
bit,Angry
rude,Angry
writing,Angry
elderly,Angry
gentleman,Angry
ask,Angry
gifts,Angry
what,Angry
christmas,Angry
about,Angry
if,Angry
not,Angry
mild,Angry
greed,Angry
protected,Happy
small,Happy
now,Happy
myself,Happy
season,Happy
words,Happy
plan,Happy
share,Happy
everyday,Happy
stories,Happy
traveling,Happy
adventures,Happy
inspirations,Happy
handmade,Happy
creations,Happy
hope,Happy
also,Happy
inspired,Happy
already,Happy
christmas,Happy
trees,Happy
up,Happy
got,Happy
two,Happy
festive,Happy
which,Happy
m,Happy
spurring,Happy
started,Happy
book,Happy
ive,Happy
worn,Happy
once,Happy
its,Happy
own,Happy
concealer,Happy
days,Happy
im,Happy
brave,Happy
dont,Happy
pale,Happy
perfect,Happy
strongly,Happy
passionate,Happy
when,Happy
jerk,Happy
off,Happy
decides,Happy
poke,Happy
fun,Happy
us,Happy
discouraged,Sad
already,Sad
robbing,Sad
peter,Sad
pay,Sad
paul,Sad
get,Sad
cow,Sad
year,Sad
cant,Sad
afford,Sad
way,Sad
listless,Sad
need,Sad
new,Sad
things,Sad
different,Sad
lost,Happy
special,Happy
mind,Happy
don,Happy
worry,Happy
sane,Happy
wanted,Happy
felt,Happy
while,Happy
reading,Happy
how,Happy
many,Happy
times,Happy
said,Happy
sam,Happy
guarantee,Happy
than,Happy
used,Happy
paragraph,Happy
tell,Happy
go,Happy
sad,Happy
here,Happy
first,Happy
home,Happy
mine,Happy
boat,Happy
trip,Happy
denmark,Happy
stopped,Angry
cold,Angry
began,Angry
hot,Angry
dough,Happy
found,Sad
myself,Sad
morning,Sad
selfish,Angry
spoiled,Angry
stymied,Fearful
little,Fearful
bit,Fearful
wrote,Fearful
unsure,Fearful
might,Fearful
go,Fearful
somewhere,Fearful
story,Fearful
unintended,Fearful
bag,Happy
qaf,Happy
look,Happy
who,Happy
s,Happy
cryin,Happy
jacynthe,Happy
lookin,Happy
good,Happy
feelin,Happy
gorgeous,Happy
rupaul,Happy
skins,Happy
scissor,Happy
sisters,Happy
valentine,Happy
sun,Happy
fed,Happy
kayle,Happy
daddy,Happy
gerling,Happy
awake,Happy
unkind,Happy
u,Happy
know,Sad
basically,Sad
fake,Sad
realm,Sad
science,Sad
fiction,Sad
hate,Sad
living,Sad
under,Sad
dads,Sad
roof,Sad
because,Sad
gives,Sad
excuse,Sad
asshole,Sad
hes,Sad
providing,Sad
live,Sad
here,Sad
think,Sad
feels,Sad
needs,Sad
unwelcome,Sad
possible,Sad
ill,Sad
leave,Sad
keep,Excited
pleasantly,Excited
surprised,Excited
his,Excited
supportiveness,Excited
ease,Excited
new,Excited
situations,Excited
anymore,Happy
vigorous,Happy
sexual,Happy
activity,Happy
coming,Happy
yes,Happy
misspelt,Happy
cumming,Happy
parts,Happy
begin,Happy
fall,Happy
mom,Happy
graceful,Happy
warm,Happy
loving,Happy
smile,Happy
rob,Happy
nurture,Happy
heal,Happy
talk,Happy
brother,Happy
law,Happy
extremely,Happy
popular,Happy
one,Happy
think,Happy
stiff,Happy
ate,Happy
could,Happy
gentle,Happy
tingle,Happy
throughout,Happy
almost,Happy
healing,Happy
taking,Happy
place,Happy
cellular,Happy
level,Happy
like,Fearful
pressured,Fearful
into,Fearful
young,Fearful
beautiful,Fearful
thin,Fearful
depending,Fearful
trend,Fearful
having,Fearful
girls,Fearful
rejuvenated,Fearful
butt,Fearful
implants,Fearful
began,Fearful
them,Fearful
several,Fearful
times,Fearful
week,Fearful
tortured,Fearful
by,Fearful
hallucinations,Fearful
moving,Fearful
people,Fearful
figures,Fearful
sounds,Fearful
vibrations,Fearful
now,Excited
nearly,Excited
finished,Excited
week,Excited
detox,Excited
amazing,Excited
as,Angry
read,Angry
back,Angry
former,Angry
posts,Angry
how,Angry
asked,Angry
prayers,Angry
others,Angry
considered,Angry
there,Angry
may,Angry
out,Angry
deserve,Angry
answered,Angry
before,Angry
own,Angry
know,Angry
pain,Angry
parents,Angry
when,Angry
enraged,Angry
child,Angry
becomes,Angry
violent,Angry
roller,Sad
coaster,Sad
emotions,Sad
over,Sad
these,Sad
supposed,Sad
feelings,Sad
unpleasant,Sad
coming,Sad
suppose,Happy
truth,Happy
needs,Happy
shared,Happy
havent,Happy
faithful,Happy
lately,Happy
dwelled,Happy
doubt,Happy
uncertainty,Happy
faith,Happy
bought,Happy
clearly,Happy
doing,Happy
makeup,Happy
miserable,Sad
c,Sad
also,Sad
proudest,Sad
mum,Sad
earth,Sad
figure,Sad
family,Sad
loves,Sad
us,Sad
matter,Sad
what,Sad
anyone,Sad
else,Sad
michelle,Sad
goes,Sad
ballistic,Sad
necessarily,Happy
f,Happy
bombs,Happy
necessary,Happy
all,Happy
see,Happy
print,Happy
journals,Happy
ovaries,Sad
aching,Sad
talking,Sad
put,Sad
didn,Sad
t,Sad
doing,Sad
much,Sad
chris,Sad
mostly,Sad
took,Sad
too,Sad
many,Sad
pictures,Sad
unimportant,Sad
stuff,Sad
tired,Sad
book,Sad
ready,Sad
out,Sad
finding,Sad
given,Sad
unsuitable,Sad
images,Sad
then,Sad
blamed,Sad
result,Sad
sit,Sad
well,Sad
successfully,Happy
manage,Happy
stretch,Happy
mxm,Happy
canvas,Happy
achievement,Happy
itself,Happy
worthwhile,Happy
usage,Happy
money,Happy
use,Happy
future,Happy
briefs,Happy
feelings,Happy
nay,Happy
most,Happy
important,Happy
things,Happy
completely,Happy
honored,Happy
influence,Happy
young,Happy
talented,Happy
fully,Happy
alive,Happy
beautiful,Happy
girl,Happy
woman,Happy
angered,Angry
firey,Angry
piece,Sad
garbage,Sad
need,Angry
make,Angry
list,Angry
leanne,Angry
would,Angry
thought,Angry
miss,Angry
drove,Angry
dannika,Angry
school,Angry
little,Angry
rushed,Angry
greeted,Angry
turned,Angry
corner,Angry
remember,Angry
hellip,Angry
furious,Angry
shooter,Angry
happy,Happy
excited,Happy
since,Happy
learned,Happy
shows,Happy
around,Happy
